City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nisia Floresta,BR,79.43,clear sky,-6.0911,-35.2086,
3,Quipapa,BR,72.43,few clouds,-8.8278,-36.0117,
9,Dingle,PH,75.34,overcast clouds,10.9995,122.6711,
19,Watsa,CD,65.48,overcast clouds,3.0372,29.5355,
20,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,
37,Sur,OM,70.61,clear sky,22.5667,59.5289,
38,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,
43,Biak,ID,77.27,overcast clouds,-0.9131,122.8766,
44,Bambous Virieux,MU,74.21,overcast clouds,-20.3428,57.7575,
45,Avarua,CK,75.25,heavy intensity rain,-21.2078,-159.775,
46,Laje,BR,77.49,overcast clouds,-10.1833,-40.9667,
49,Lompoc,US,65.1,clear sky,34.6391,-120.4579,
50,Umm Lajj,SA,76.32,overcast clouds,25.0213,37.2685,
51,Balikpapan,ID,74.34,overcast clouds,-1.2675,116.8289,
52,Cape Town,ZA,66.34,overcast clouds,-33.9258,18.4232,
54,Salalah,OM,73.49,clear sky,17.0151,54.0924,
56,Antofagasta,CL,65.48,scattered clouds,-23.65,-70.4,
58,Matara,LK,76.42,light rain,5.9485,80.5353,
64,Guerrero Negro,MX,67.5,scattered clouds,27.9769,-114.0611,
65,Rio Brilhante,BR,70.32,overcast clouds,-21.8019,-54.5464,
66,Port Alfred,ZA,71.01,overcast clouds,-33.5906,26.891,
69,Rikitea,PF,77.31,light rain,-23.1203,-134.9692,
70,Vao,NC,75.79,overcast clouds,-22.6667,167.4833,
73,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,
74,Ahipara,NZ,71.49,moderate rain,-35.1667,173.1667,
75,Chuy,UY,70.7,clear sky,-33.6971,-53.4616,
77,Mar Del Plata,AR,70.88,overcast clouds,-38.0023,-57.5575,
79,Basco,PH,75.81,broken clouds,20.4487,121.9702,
81,Marsabit,KE,67.44,overcast clouds,2.3284,37.9899,
82,Sao Joao Da Barra,BR,76.3,heavy intensity rain,-21.6403,-41.0511,
83,Caravelas,BR,76.75,broken clouds,-17.7125,-39.2481,
91,Atuona,PF,79.18,few clouds,-9.8,-139.0333,
93,Amapa,BR,74.1,broken clouds,1.0,-52.0,
94,Beloha,MG,72.16,broken clouds,-25.1667,45.05,
95,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,
98,Kismayo,SO,79.97,scattered clouds,-0.3582,42.5454,
100,Port Macquarie,AU,73.89,clear sky,-31.4333,152.9167,
102,Barranca,PE,70.39,broken clouds,-10.75,-77.7667,
106,East London,ZA,71.56,moderate rain,-33.0153,27.9116,
108,Arraial Do Cabo,BR,77.27,light rain,-22.9661,-42.0278,
110,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,
111,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,
113,Maragogi,BR,79.25,few clouds,-9.0122,-35.2225,
114,Victoria,HK,65.32,broken clouds,22.2855,114.1577,
117,Bras-Panon,RE,78.46,broken clouds,-20.9967,55.6782,
119,Mangai,CD,70.86,overcast clouds,-4.05,19.5333,
120,Kalmunai,LK,77.07,light rain,7.4167,81.8167,
122,Ponta Do Sol,PT,66.0,broken clouds,32.6667,-17.1,
126,Codajas,BR,75.04,overcast clouds,-3.8367,-62.0569,
127,Capao Bonito,BR,73.62,broken clouds,-24.0058,-48.3494,
129,Hambantota,LK,78.26,moderate rain,6.1241,81.1185,
131,Pisco,PE,69.85,few clouds,-13.7,-76.2167,
132,Bac Lieu,VN,74.95,overcast clouds,9.285,105.7244,
134,Senanga,ZM,76.48,overcast clouds,-16.1167,23.2667,
137,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,
139,Bagamoyo,TZ,74.3,moderate rain,-6.4333,38.9,
150,Calabar,NG,79.48,scattered clouds,4.9517,8.322,
155,Aswan,EG,73.56,overcast clouds,24.0934,32.907,
158,Lakes Entrance,AU,65.16,clear sky,-37.8811,147.981,
159,Hobyo,SO,78.35,scattered clouds,5.3505,48.5268,
160,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,
170,Hilo,US,78.8,broken clouds,19.7297,-155.09,
181,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,
182,Cidreira,BR,71.94,clear sky,-30.1811,-50.2056,
187,Sao Filipe,CV,75.29,overcast clouds,14.8961,-24.4956,
188,Poum,NC,77.94,heavy intensity rain,-20.2333,164.0167,
192,Port Pirie,AU,66.29,light rain,-33.1833,138.0167,
193,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,
197,Baracoa,CU,78.48,few clouds,20.3467,-74.4958,
200,Marawi,PH,65.64,broken clouds,7.9986,124.2928,
202,Huarmey,PE,71.4,broken clouds,-10.0681,-78.1522,
204,El Alto,PE,71.26,scattered clouds,-4.2714,-81.2147,
207,Castro,BR,72.64,overcast clouds,-24.7911,-50.0119,
211,Bengkulu,ID,74.91,overcast clouds,-3.8004,102.2655,
213,Kansanshi,ZM,67.55,overcast clouds,-12.0951,26.4273,
214,Meulaboh,ID,75.51,overcast clouds,4.1363,96.1285,
223,Carlsbad,US,70.7,clear sky,33.1581,-117.3506,
226,Buritis,BR,74.32,moderate rain,-15.6178,-46.4233,
227,Loandjili,CG,77.83,overcast clouds,-4.7561,11.8578,
230,Grand-Santi,GF,73.8,overcast clouds,4.25,-54.3833,
231,Camargo,MX,70.07,clear sky,27.6667,-105.1667,
235,Isiro,CD,67.55,overcast clouds,2.7739,27.616,
236,Cayenne,GF,76.08,moderate rain,4.9333,-52.3333,
240,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,
255,Mount Gambier,AU,69.21,scattered clouds,-37.8333,140.7667,
257,Umm Kaddadah,SD,71.44,few clouds,13.6017,26.6876,
261,Nishihara,JP,67.28,mist,26.1842,127.7558,
265,Ambilobe,MG,73.56,clear sky,-13.2,49.05,
266,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,
277,Luanda,AO,78.82,light rain,-8.8368,13.2343,
278,Kaeo,NZ,72.32,moderate rain,-35.1,173.7833,
282,Murud,IN,75.15,scattered clouds,18.3258,72.965,
283,Jibuti,DJ,71.02,clear sky,11.5,42.5,
286,Tanete,ID,75.6,light rain,-3.9443,119.7848,
287,Kutum,SD,66.2,scattered clouds,14.2,24.6667,
288,Bahia De Caraquez,EC,75.38,light rain,-0.6,-80.4167,
289,Payo,ID,71.89,overcast clouds,-3.7508,103.6372,
291,Esna,EG,71.51,broken clouds,25.2934,32.554,
294,Arlit,NE,70.48,broken clouds,18.7369,7.3853,
300,Djambala,CG,67.23,overcast clouds,-2.5447,14.7533,
308,Porbandar,IN,72.3,clear sky,21.6422,69.6093,
309,Rosarito,MX,67.64,few clouds,32.3333,-117.0333,
310,San Patricio,US,68.09,clear sky,28.017,-97.5169,
313,Kontagora,NG,78.21,overcast clouds,10.3999,5.4695,
317,Ocampo,MX,71.96,broken clouds,21.65,-101.5,
320,Santa Cruz,BO,78.85,overcast clouds,-17.8,-63.1667,
322,La Palma,US,70.81,clear sky,33.8464,-118.0467,
324,Garissa,KE,79.54,overcast clouds,-0.4536,39.6401,
326,Pirapora,BR,75.11,light rain,-17.345,-44.9419,
329,Sinnamary,GF,77.13,overcast clouds,5.3833,-52.95,
330,Katsina,NG,70.88,scattered clouds,12.9894,7.6006,
331,Hualmay,PE,71.17,broken clouds,-11.0964,-77.6139,
335,Yarada,IN,75.52,mist,17.65,83.2667,
337,Durban,ZA,77.02,overcast clouds,-29.8579,31.0292,
338,Plettenberg Bay,ZA,65.68,overcast clouds,-34.0527,23.3716,
343,Mazabuka,ZM,77.22,broken clouds,-15.856,27.748,
346,Xambioa,BR,75.51,moderate rain,-6.4111,-48.5364,
348,Ulladulla,AU,65.88,clear sky,-35.35,150.4667,
349,Bagotville,AU,69.82,overcast clouds,-28.9833,153.4167,
352,Araouane,ML,72.25,scattered clouds,18.9048,-3.5265,
362,Madang,PG,77.34,light rain,-5.2246,145.7966,
363,Mabaruma,GY,73.09,overcast clouds,8.2,-59.7833,
366,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,
376,Port Shepstone,ZA,73.35,overcast clouds,-30.7414,30.455,
377,Barra Do Garcas,BR,75.31,overcast clouds,-15.89,-52.2567,
379,Singkawang,ID,76.35,overcast clouds,0.9,109.0,
381,Praia,CV,73.94,overcast clouds,14.9215,-23.5087,
382,Chipata,ZM,70.56,clear sky,-13.6333,32.65,
388,Thaton,MM,69.21,clear sky,16.9206,97.3714,
394,Atambua,ID,75.61,overcast clouds,-9.1061,124.8925,
397,Forbes,AU,69.35,clear sky,-33.3833,148.0167,
398,Akyab,MM,69.57,clear sky,20.15,92.9,
399,Goure,NE,74.01,broken clouds,13.9835,10.2704,
407,Popondetta,PG,78.64,moderate rain,-8.7537,148.2534,
411,Conceicao Do Araguaia,BR,76.32,moderate rain,-8.2578,-49.2647,
413,Gunjur,GM,77.07,scattered clouds,13.2019,-16.7339,
418,Moa,CU,78.33,few clouds,20.6569,-74.9403,
423,San Gabriel,US,69.49,clear sky,34.0961,-118.1058,
427,Acari,PE,72.41,overcast clouds,-15.4311,-74.6158,
431,Oum Hadjer,TD,77.0,broken clouds,13.2954,19.6966,
433,Safaga,EG,66.15,overcast clouds,26.7292,33.9365,
437,Flinders,AU,66.79,few clouds,-34.5833,150.8552,
442,Kathu,TH,73.22,few clouds,7.9178,98.3332,
449,Merauke,ID,79.84,overcast clouds,-8.4667,140.3333,
457,Adrar,MR,68.31,scattered clouds,20.5022,-10.0711,
460,Santa Catalina,PH,77.74,scattered clouds,9.3337,122.8637,
468,Unai,BR,74.62,overcast clouds,-16.3575,-46.9061,
482,Brownfield,US,67.95,clear sky,33.1812,-102.2744,
483,Sao Gabriel Da Cachoeira,BR,78.26,light rain,-0.1303,-67.0892,
486,Ixtapa,MX,79.83,clear sky,20.7,-105.2,
489,Adelaide,AU,73.56,broken clouds,-34.9333,138.6,
490,Nacala,MZ,77.83,broken clouds,-14.5428,40.6728,
491,Banda Aceh,ID,77.25,few clouds,5.5577,95.3222,
493,Mushie,CD,70.03,overcast clouds,-3.0167,16.9,
500,Atar,MR,72.1,broken clouds,20.5169,-13.0499,
502,Caibarien,CU,79.92,clear sky,22.5206,-79.4669,
510,Sampit,ID,74.08,overcast clouds,-2.5333,112.95,
512,Vung Tau,VN,75.58,scattered clouds,10.346,107.0843,
515,Muisne,EC,75.31,light rain,0.6,-80.0333,
519,Mecca,SA,72.43,scattered clouds,21.4267,39.8261,
520,Esmeraldas,BR,77.86,overcast clouds,-19.7625,-44.3139,
521,Tombouctou,ML,69.91,few clouds,20.0,-3.0,
523,Sambava,MG,74.89,light rain,-14.2667,50.1667,
525,Gushikawa,JP,67.23,mist,26.3544,127.8686,
528,Padang,ID,77.05,light rain,-0.9492,100.3543,
531,Olavarria,AR,76.01,broken clouds,-36.8927,-60.3225,
532,Antalaha,MG,72.72,light rain,-14.9003,50.2788,
534,Bunia,CD,66.79,overcast clouds,1.5667,30.25,
541,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,
544,Loa Janan,ID,72.7,broken clouds,-0.583,117.095,
547,Dwarka,IN,73.06,clear sky,22.2394,68.9678,
549,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,
550,Muncar,ID,77.27,overcast clouds,-8.4333,114.3333,
551,Long Beach,US,70.14,clear sky,33.767,-118.1892,
552,Vega De Alatorre,MX,70.81,few clouds,20.0333,-96.6333,
560,Grenfell,AU,68.32,clear sky,-33.9,148.1667,
561,San Rafael,AR,73.49,clear sky,-34.6177,-68.3301,
563,Gigmoto,PH,78.96,overcast clouds,13.7796,124.39,
566,Coron,PH,78.75,overcast clouds,11.9986,120.2043,
568,Teknaf,BD,65.66,clear sky,20.8624,92.3058,
571,Kimbe,PG,77.49,light rain,-5.5502,150.1429,
572,Ilebo,CD,72.09,overcast clouds,-4.3167,20.5833,
574,Candelaria,PH,76.59,overcast clouds,13.9311,121.4233,
575,Bo Rai,TH,68.34,few clouds,12.5728,102.5371,
576,Boende,CD,72.99,broken clouds,-0.2167,20.8667,
583,Necochea,AR,66.04,overcast clouds,-38.5473,-58.7368,
598,Parakan,ID,73.89,overcast clouds,-6.4191,106.0081,
599,Grand-Lahou,CI,79.97,broken clouds,5.1367,-5.0242,
603,Port Augusta,AU,77.7,few clouds,-32.5,137.7667,
604,Ballitoville,ZA,76.24,few clouds,-29.539,31.2144,
605,Santiago Del Estero,AR,77.81,broken clouds,-27.7951,-64.2615,
608,Benguela,AO,77.94,overcast clouds,-12.5763,13.4055,
610,Senekal,ZA,65.28,light rain,-28.3197,27.6208,
615,Trelew,AR,65.52,overcast clouds,-43.249,-65.3051,
618,Mulege,MX,70.95,broken clouds,26.8833,-111.9833,
619,Saint-Louis,SN,78.44,overcast clouds,16.3333,-15.0,
630,Tonantins,BR,78.6,broken clouds,-2.8731,-67.8022,
632,Inhambane,MZ,78.67,clear sky,-23.865,35.3833,
637,Colac,AU,73.08,scattered clouds,-38.3333,143.5833,
640,Yulara,AU,73.24,overcast clouds,-25.2406,130.9889,
641,Gilbues,BR,74.57,overcast clouds,-9.8317,-45.3439,
643,Canon City,US,69.67,clear sky,38.441,-105.2424,
650,Aquidauana,BR,73.56,overcast clouds,-20.4711,-55.7872,
652,Cacapava Do Sul,BR,77.41,broken clouds,-30.5122,-53.4914,
657,Nouakchott,MR,75.88,broken clouds,18.0858,-15.9785,
662,Imbituba,BR,77.83,scattered clouds,-28.24,-48.6703,
663,Namibe,AO,71.4,broken clouds,-15.1961,12.1522,
666,Cuamba,MZ,77.16,scattered clouds,-14.8031,36.5372,
672,Angoche,MZ,77.92,clear sky,-16.2325,39.9086,
677,Manacapuru,BR,75.78,heavy intensity rain,-3.2997,-60.6206,
678,Tessalit,ML,69.76,few clouds,20.1986,1.0114,
685,Ouallam,NE,76.86,overcast clouds,14.3188,2.0866,
687,Miraflores,MX,70.45,scattered clouds,19.2167,-98.8083,
688,Kindu,CD,71.1,overcast clouds,-2.95,25.95,
691,Camopi,GF,73.18,broken clouds,3.1655,-52.3158,
692,Sao Felix Do Xingu,BR,73.96,heavy intensity rain,-6.6447,-51.995,
695,Tarakan,ID,76.5,few clouds,3.3,117.6333,
701,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,
703,Montebello,US,69.49,clear sky,34.0095,-118.1053,
705,Gold Coast,AU,79.38,clear sky,-28.0,153.4333,
706,Oussouye,SN,77.18,scattered clouds,12.485,-16.5469,
708,Richards Bay,ZA,75.0,overcast clouds,-28.783,32.0377,
